Timestamp,P(UP),P(DOWN),Momentum,Prediction,Actual Outcome,Correct?,Market Ticker,Volume
2026-02-22 14:36:00,0.4275,0.5725,0.1342,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:37:00,0.2992,0.7008,-0.1283,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:38:00,0.2330,0.7670,-0.0662,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:39:00,0.2708,0.7292,0.0378,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:40:00,0.3108,0.6892,0.04,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:41:00,0.3262,0.6737,0.0154,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:42:00,0.3300,0.6700,0.0038,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:43:00,0.8917,0.1083,0.5617,UP,UP,Correct,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:44:00,0.9910,0.0090,0.0993,UP,UP,Correct,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:45:00,0.4300,0.5700,0,DOWN,DOWN,Correct,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:46:00,0.4350,0.5650,0.005,DOWN,DOWN,Correct,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:47:00,0.4300,0.5700,-0.005,DOWN,DOWN,Correct,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:48:00,0.4850,0.5150,0.055,DOWN,DOWN,Correct,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:49:00,0.5850,0.4150,0.1,UP,DOWN,Incorrect,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:50:00,0.5558,0.4442,-0.0292,UP,DOWN,Incorrect,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:51:00,0.4610,0.5390,-0.0948,DOWN,DOWN,Correct,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:52:00,0.6950,0.3050,0.234,UP,DOWN,Incorrect,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:53:00,0.7450,0.2550,0.05,UP,DOWN,Incorrect,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:54:00,0.7060,0.2940,-0.039,UP,DOWN,Incorrect,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:55:00,0.7000,0.3000,-0.006,UP,DOWN,Incorrect,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:56:00,0.8025,0.1975,0.1025,UP,DOWN,Incorrect,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:57:00,0.7730,0.2270,-0.0295,UP,DOWN,Incorrect,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:58:00,0.5575,0.4425,-0.2155,UP,DOWN,Incorrect,KXBTC15M-26FEB221800-00,167230
2026-02-22 14:59:00,0.5475,0.4525,-0.01,UP,DOWN,Incorrect,KXBTC15M-26FEB221800-00,167230
