ticker,asset,contract_open,hour_of_open,opening_pup,momentum_1min,momentum_3min,mean_pup_5min,pup_vol_5min,conviction_spread,volume_log,actual_outcome,target,volume,n_rows,is_clean,prev_open_pup
KXBTC15M-26FEB241145-45,BTC,2026-02-24 08:30:00,8,0.52,-0.1275,-0.3708,0.2838,0.14700379586935844,0.040000000000000036,12.301369188877887,UP,1.0,219996.0,15,True,0.46
KXBTC15M-26FEB241200-00,BTC,2026-02-24 08:45:00,8,0.48,-0.04249999999999998,-0.065,0.418,0.04658493318660015,0.040000000000000036,12.064491799953077,UP,1.0,173596.0,15,True,0.52
KXBTC15M-26FEB241215-15,BTC,2026-02-24 09:00:00,9,0.48,0.0050000000000000044,-0.044999999999999984,0.4628,0.03211479409867048,0.040000000000000036,12.369623292624269,UP,1.0,235536.0,15,True,0.48
KXBTC15M-26FEB241230-30,BTC,2026-02-24 09:15:00,9,0.48,-0.069,-0.19,0.35679999999999995,0.08126352195173428,0.040000000000000036,11.741836353178499,DOWN,0.0,125722.0,15,True,0.48
KXBTC15M-26FEB241245-45,BTC,2026-02-24 09:30:00,9,0.565,-0.004999999999999893,-0.009999999999999898,0.54674,0.027711918013735532,0.1299999999999999,12.165537068321898,DOWN,0.0,192054.0,15,True,0.48
KXBTC15M-26FEB241300-00,BTC,2026-02-24 09:45:00,9,0.515,-0.04500000000000004,0.025799999999999934,0.53542,0.0583689095323872,0.030000000000000027,12.055127655318374,UP,1.0,171978.0,15,True,0.565
KXBTC15M-26FEB241315-15,BTC,2026-02-24 10:00:00,10,0.48,0.010800000000000032,0.25670000000000004,0.62376,0.13083327711251447,0.040000000000000036,11.975621206532665,DOWN,0.0,158834.0,15,True,0.515
KXBTC15M-26FEB241330-30,BTC,2026-02-24 10:15:00,10,0.52,-0.008000000000000007,0.07499999999999996,0.55714,0.09041016756980377,0.040000000000000036,11.79247203377328,UP,1.0,132252.0,15,True,0.48
KXBTC15M-26FEB241345-45,BTC,2026-02-24 10:30:00,10,0.52,0.02100000000000002,0.2025,0.6135400000000001,0.09054969022586436,0.040000000000000036,11.796915731083459,UP,1.0,132841.0,15,True,0.52
KXBTC15M-26FEB241400-00,BTC,2026-02-24 10:45:00,10,0.48,0.04249999999999998,0.15100000000000002,0.56336,0.05597087099554555,0.040000000000000036,12.090975998299097,UP,1.0,178255.0,15,True,0.52
KXBTC15M-26FEB241415-15,BTC,2026-02-24 11:00:00,11,0.525,0.020000000000000018,0.13419999999999999,0.6097,0.06601224128902154,0.050000000000000044,12.268958238834903,DOWN,0.0,212980.0,15,True,0.48
KXBTC15M-26FEB241430-30,BTC,2026-02-24 11:15:00,11,0.545,-0.0025000000000000577,-0.11800000000000005,0.49273999999999996,0.048865840829765736,0.09000000000000008,12.334553807178715,UP,1.0,227419.0,15,True,0.525
KXBTC15M-26FEB241445-45,BTC,2026-02-24 11:30:00,11,0.48,0.027000000000000024,0.10750000000000004,0.5713,0.08957767579034409,0.040000000000000036,11.919995950436977,UP,1.0,150240.0,15,True,0.545
KXBTC15M-26FEB241500-00,BTC,2026-02-24 11:45:00,11,0.52,-0.010000000000000009,-0.03600000000000003,0.48545999999999995,0.029647367505395823,0.040000000000000036,11.822063209451299,DOWN,0.0,136224.0,15,True,0.48
KXBTC15M-26FEB241515-15,BTC,2026-02-24 12:00:00,12,0.565,-0.005999999999999894,-0.043299999999999894,0.51558,0.08829592063057046,0.1299999999999999,12.05257758407155,DOWN,0.0,171540.0,15,True,0.52
KXBTC15M-26FEB241530-30,BTC,2026-02-24 12:15:00,12,0.515,0.136,0.1975,0.67984,0.09185206802244575,0.030000000000000027,11.813592861979329,UP,1.0,135075.0,15,True,0.565
KXBTC15M-26FEB241545-45,BTC,2026-02-24 12:30:00,12,0.47,-0.07169999999999999,0.1725,0.5121,0.1232468904273045,0.06000000000000005,12.087306001289432,UP,1.0,177602.0,15,True,0.515
KXBTC15M-26FEB241600-00,BTC,2026-02-24 12:45:00,12,0.48,-0.02699999999999997,-0.07,0.43944,0.029293589742467548,0.040000000000000036,12.096776618117229,DOWN,0.0,179292.0,15,True,0.47
KXBTC15M-26FEB241615-15,BTC,2026-02-24 13:00:00,13,0.31,-0.02999999999999997,-0.20500000000000002,0.183,0.09389355675444402,0.38,11.89468513973288,DOWN,0.0,146485.0,15,True,0.48
KXBTC15M-26FEB241630-30,BTC,2026-02-24 13:15:00,13,0.485,-0.07500000000000001,-0.33999999999999997,0.28466,0.15957212287865322,0.030000000000000027,11.714232321675263,DOWN,0.0,122299.0,15,True,0.31
KXBTC15M-26FEB241645-45,BTC,2026-02-24 13:30:00,13,0.53,-0.06330000000000002,0.015799999999999925,0.513,0.03947855113856129,0.06000000000000005,11.986678307125475,UP,1.0,160600.0,15,True,0.485
KXBTC15M-26FEB241700-00,BTC,2026-02-24 13:45:00,13,0.48,0.05400000000000005,0.061000000000000054,0.5429999999999999,0.03739518685606477,0.040000000000000036,12.345491050642295,UP,1.0,229920.0,15,True,0.53
KXBTC15M-26FEB241715-15,BTC,2026-02-24 14:00:00,14,0.335,0.0032999999999999696,0.38419999999999993,0.5238400000000001,0.2152202090882731,0.32999999999999996,11.933765110184593,UP,1.0,152323.0,15,True,0.48
KXBTC15M-26FEB241730-30,BTC,2026-02-24 14:15:00,14,0.53,-0.015000000000000013,-0.14250000000000002,0.43479999999999996,0.08238725629610444,0.06000000000000005,11.988687482826629,DOWN,0.0,160923.0,15,True,0.335
KXBTC15M-26FEB241745-45,BTC,2026-02-24 14:30:00,14,0.425,-0.010000000000000009,-0.16599999999999998,0.34395999999999993,0.06960062068688755,0.15000000000000002,12.426564684690891,DOWN,0.0,249337.0,15,True,0.53
KXBTC15M-26FEB241800-00,BTC,2026-02-24 14:45:00,14,0.505,0.020000000000000018,0.1875,0.59616,0.07234419396192068,0.010000000000000009,12.580016126315382,UP,1.0,290690.0,15,True,0.425
KXBTC15M-26FEB241815-15,BTC,2026-02-24 15:00:00,15,0.655,-0.036700000000000066,-0.12750000000000006,0.54436,0.08121833783081257,0.31000000000000005,12.137172626875122,DOWN,0.0,186683.0,15,True,0.505
KXBTC15M-26FEB241830-30,BTC,2026-02-24 15:15:00,15,0.615,0.013299999999999979,-0.05830000000000002,0.60504,0.030021365725096522,0.22999999999999998,11.898997062082726,UP,1.0,147118.0,15,True,0.655
KXBTC15M-26FEB241845-45,BTC,2026-02-24 15:30:00,15,0.415,0.12000000000000005,0.00830000000000003,0.45431999999999995,0.051527600371063284,0.17000000000000004,12.067207051314949,DOWN,0.0,174068.0,15,True,0.615
